# Robot Manual Control Log
# Started: 2026-03-10 22:02:27
# Columns: timestamp, left_x_cm, left_y_cm, left_z_cm, left_heading_deg, joystick_forward, joystick_turn, motor_speed, servo2_angle, servo1_angle
#====================================================================================================
39.784, -22.94, 79.87, 8.81, 289.8, 0.000, 0.000, 0.0, 90.0, 90.0
39.986, -23.04, 79.95, 8.89, 315.1, 0.000, 0.000, 0.0, 90.0, 90.0
40.187, -23.26, 79.96, 9.34, 323.7, 0.000, 0.000, 0.0, 90.0, 90.0
40.387, -22.89, 79.69, 11.69, 329.3, 0.000, 0.000, 0.0, 90.0, 90.0
40.586, -21.73, 79.71, 13.19, 333.4, 0.000, 0.000, 0.0, 90.0, 90.0
40.783, -21.79, 80.08, 12.66, 336.8, 0.000, 0.000, 0.0, 90.0, 90.0
40.983, -22.33, 83.12, 8.42, 250.2, 0.000, 0.000, 0.0, 90.0, 90.0
41.183, -21.39, 85.75, 3.65, 172.4, 0.000, 0.000, 0.0, 90.0, 90.0
41.383, -20.93, 86.67, 0.98, 118.8, 0.000, 0.000, 0.0, 90.0, 90.0
41.583, -23.85, 88.30, -3.79, 82.6, 0.000, 0.000, 0.0, 90.0, 90.0
41.783, -26.96, 90.12, -8.76, 58.6, 0.000, 0.000, 0.0, 90.0, 90.0
41.983, -29.04, 91.40, -13.31, 42.1, 0.000, 0.000, 0.0, 90.0, 90.0
42.183, -29.08, 92.47, -17.78, 30.1, 0.000, 0.000, 0.0, 90.0, 90.0
42.383, -26.59, 93.17, -20.87, 58.6, 0.000, 0.000, 0.0, 90.0, 90.0
42.583, -24.64, 94.54, -21.43, 157.8, 0.000, 0.000, 0.0, 90.0, 90.0
42.783, -25.01, 95.01, -19.06, 140.2, 0.000, 0.000, 0.0, 90.0, 90.0
42.983, -25.42, 93.97, -15.15, 107.5, 0.000, 0.000, 0.0, 90.0, 90.0
43.183, -25.06, 91.86, -10.81, 187.4, 0.000, 0.000, 0.0, 90.0, 90.0
43.383, -23.77, 91.69, -6.90, 237.8, 0.000, 0.000, 0.0, 90.0, 90.0
43.583, -24.05, 92.09, -6.10, 274.0, 0.000, 0.000, 0.0, 90.0, 90.0
43.783, -25.02, 92.50, -6.62, 299.4, 0.000, 0.000, 0.0, 90.0, 90.0
43.983, -25.37, 92.55, -6.72, 316.7, 0.000, 0.000, 0.0, 90.0, 90.0
44.183, -25.67, 92.63, -6.75, 327.9, 0.000, 0.000, 0.0, 90.0, 90.0
