====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-11 17:24:21
  Platform: Windows 11
====================================================================================================

[17:24:21.787] [INIT] Server starting...
[17:24:21.787] [INIT] Platform: Windows
[17:24:21.789] [INIT] Arduino connected: False
[17:38:35.949] [INFO] Quest 3 connected from 10.201.149.105
[17:38:35.950] [INFO] Active connections: 1
[17:38:47.029] [MODE] MODE 1 ACTIVATED: Manual Control
[17:41:18.430] [TRACK] Mode 4 tracking: X=-20.6cm, Z=22.9cm, Heading=92.7°
[17:41:19.027] [TRACK] Mode 4 tracking: X=4.8cm, Z=21.4cm, Heading=120.6°
[17:41:22.432] [TRACK] Mode 4 tracking: X=-7.2cm, Z=22.4cm, Heading=151.7°
[17:41:24.038] [TRACK] Mode 4 tracking: X=10.3cm, Z=13.9cm, Heading=162.4°
[17:41:28.230] [TRACK] Mode 4 tracking: X=76.6cm, Z=-81.1cm, Heading=163.2°
[17:41:29.633] [TRACK] Mode 4 tracking: X=92.8cm, Z=-105.0cm, Heading=165.4°
[17:41:30.427] [TRACK] Mode 4 tracking: X=96.5cm, Z=-110.2cm, Heading=170.6°
[17:41:30.829] [TRACK] Mode 4 tracking: X=96.3cm, Z=-111.1cm, Heading=178.1°
[17:41:34.833] [TRACK] Mode 4 tracking: X=106.2cm, Z=-33.5cm, Heading=317.5°
[17:41:35.231] [TRACK] Mode 4 tracking: X=99.8cm, Z=-76.6cm, Heading=319.3°
[17:41:39.428] [TRACK] Mode 4 tracking: X=85.8cm, Z=-96.6cm, Heading=316.2°
[17:41:42.831] [TRACK] Mode 4 tracking: X=94.7cm, Z=22.9cm, Heading=347.2°
[17:41:44.030] [TRACK] Mode 4 tracking: X=76.9cm, Z=52.0cm, Heading=351.2°
[17:41:45.285] [TRACK] Mode 4 tracking: X=77.6cm, Z=43.8cm, Heading=353.7°
[17:41:47.234] [TRACK] Mode 4 tracking: X=76.6cm, Z=41.2cm, Heading=349.0°
[17:41:56.026] [TRACK] Mode 4 tracking: X=38.5cm, Z=33.3cm, Heading=141.9°
[17:41:56.430] [TRACK] Mode 4 tracking: X=43.3cm, Z=34.3cm, Heading=141.7°
[17:41:58.429] [TRACK] Mode 4 tracking: X=38.4cm, Z=23.1cm, Heading=138.1°
[17:42:00.635] [TRACK] Mode 4 tracking: X=9.7cm, Z=93.1cm, Heading=140.9°
[17:42:02.637] [TRACK] Mode 4 tracking: X=123.7cm, Z=-30.7cm, Heading=175.0°
[17:42:04.229] [TRACK] Mode 4 tracking: X=129.2cm, Z=-45.8cm, Heading=286.2°
[17:42:04.829] [TRACK] Mode 4 tracking: X=121.6cm, Z=-34.3cm, Heading=289.7°
[17:42:05.127] [TRACK] Mode 4 tracking: X=120.8cm, Z=-38.7cm, Heading=288.6°
[17:42:06.228] [TRACK] Mode 4 tracking: X=116.0cm, Z=-50.7cm, Heading=290.4°
[17:42:06.519] [TRACK] Mode 4 tracking: X=113.9cm, Z=-51.6cm, Heading=291.1°
