====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 13:35:33
  Platform: Windows 11
====================================================================================================

[13:35:33.405] [INIT] Server starting...
[13:35:33.405] [INIT] Platform: Windows
[13:35:33.406] [INIT] Arduino connected: False
[13:39:00.658] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:07.058] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:07.457] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:09.657] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:10.658] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:11.056] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:12.459] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:13.262] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:14.458] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:15.057] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:17.461] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:19.657] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:20.673] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:24.057] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:26.061] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:26.457] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:29.259] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:30.860] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:31.657] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:36.059] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:37.056] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:37.657] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:40.456] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:40.658] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:54.106] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:39:54.335] [SHUTDOWN] Server stopped by user (Ctrl+C)

====================================================================================================
  Session ended: 2026-03-15 13:39:54
====================================================================================================
