# Robot Manual Control Log
# Started: 2026-03-15 13:58:54
# Columns: timestamp, left_x_cm, left_y_cm, left_z_cm, left_heading_deg, joystick_forward, joystick_turn, motor_speed, servo2_angle, servo1_angle
#====================================================================================================
158.817, 0.00, 147.74, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
159.016, 0.00, 147.72, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
159.216, 0.00, 147.59, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
159.416, 0.00, 147.66, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
159.616, 0.00, 147.61, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
159.817, 0.00, 147.14, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
160.019, 0.00, 147.04, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
160.219, 0.00, 146.85, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
160.420, 0.00, 146.47, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
160.619, 0.00, 147.15, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
160.819, 0.00, 147.13, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
161.021, 0.00, 147.86, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
161.220, 0.00, 147.75, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
161.421, 0.00, 148.01, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
161.621, 0.00, 148.09, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
161.821, 0.00, 148.13, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
162.022, 0.00, 148.32, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
162.221, 0.00, 148.46, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
