# Robot Manual Control Log
# Started: 2026-03-15 17:11:15
# Columns: timestamp, left_x_cm, left_y_cm, left_z_cm, left_heading_deg, joystick_forward, joystick_turn, motor_speed, servo2_angle, servo1_angle
#====================================================================================================
90.010, -7.41, 48.05, -4.68, 192.8, 0.000, 0.000, 0.0, 90.0, 90.0
90.212, -7.41, 48.05, -4.68, 193.1, 0.000, 0.000, 0.0, 90.0, 90.0
90.412, -7.41, 48.05, -4.68, 193.1, 0.000, 0.000, 0.0, 90.0, 90.0
90.612, -7.41, 48.05, -4.68, 193.1, 0.000, 0.000, 0.0, 90.0, 90.0
90.813, -7.41, 48.05, -4.68, 193.1, 0.000, 0.000, 0.0, 90.0, 90.0
91.013, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
91.213, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
91.413, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
91.613, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
91.814, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
92.014, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
92.213, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
92.414, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
92.613, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
92.815, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
93.014, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
93.214, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
93.414, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
93.613, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
93.814, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
94.013, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
94.213, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
94.414, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
94.614, -7.41, 48.05, -4.68, 193.0, 0.000, 0.000, 0.0, 90.0, 90.0
94.814, -7.37, 47.78, -4.72, 192.2, 0.000, 0.000, 0.0, 90.0, 90.0
95.013, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
95.213, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
95.414, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
95.613, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
95.813, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
96.014, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
96.214, -7.43, 47.77, -4.76, 192.9, 0.000, 0.000, 0.0, 90.0, 90.0
