# Robot Manual Control Log
# Started: 2026-03-15 13:49:59
# Columns: timestamp, left_x_cm, left_y_cm, left_z_cm, left_heading_deg, joystick_forward, joystick_turn, motor_speed, servo2_angle, servo1_angle
#====================================================================================================
41.513, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
41.714, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
41.915, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
42.116, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
42.317, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
42.516, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
42.716, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
42.915, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
43.117, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
43.316, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
43.510, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
43.717, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
43.918, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
44.118, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
44.318, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
44.511, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
44.717, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
44.910, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
45.110, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
45.310, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
45.517, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
45.710, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
45.910, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
46.110, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
46.311, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
46.511, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
46.710, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
46.910, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
47.111, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
47.310, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
47.511, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
47.710, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
47.910, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
48.110, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
48.310, 0.00, 12.70, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0
48.506, 0.00, 0.00, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0

# Stopped: 2026-03-15 13:50:06
# Duration: 7.2 seconds
