Locn_No,Average_household_size_10000m,Average_household_size_1000m,Average_household_size_3000m,Average_household_size_5000m,Average_household_size_500m,Buddhism_P_10000m,Buddhism_P_1000m,Buddhism_P_3000m,Buddhism_P_5000m,Buddhism_P_500m,Chinese_Tot_Resp_10000m,Chinese_Tot_Resp_1000m,Chinese_Tot_Resp_3000m,Chinese_Tot_Resp_5000m,Chinese_Tot_Resp_500m,Christianity_Tot_P_10000m,Christianity_Tot_P_1000m,Christianity_Tot_P_3000m,Christianity_Tot_P_5000m,Christianity_Tot_P_500m,English_Tot_Resp_10000m,English_Tot_Resp_1000m,English_Tot_Resp_3000m,English_Tot_Resp_5000m,English_Tot_Resp_500m,Filipino_Tot_Resp_10000m,Filipino_Tot_Resp_1000m,Filipino_Tot_Resp_3000m,Filipino_Tot_Resp_5000m,Filipino_Tot_Resp_500m,Greek_Tot_Resp_10000m,Greek_Tot_Resp_1000m,Greek_Tot_Resp_3000m,Greek_Tot_Resp_5000m,Greek_Tot_Resp_500m,Hinduism_P_10000m,Hinduism_P_1000m,Hinduism_P_3000m,Hinduism_P_5000m,Hinduism_P_500m,Indian_Tot_Resp_10000m,Indian_Tot_Resp_1000m,Indian_Tot_Resp_3000m,Indian_Tot_Resp_5000m,Indian_Tot_Resp_500m,Islam_P_10000m,Islam_P_1000m,Islam_P_3000m,Islam_P_5000m,Islam_P_500m,Judaism_P_10000m,Judaism_P_1000m,Judaism_P_3000m,Judaism_P_5000m,Judaism_P_500m,Korean_Tot_Resp_10000m,Korean_Tot_Resp_1000m,Korean_Tot_Resp_3000m,Korean_Tot_Resp_5000m,Korean_Tot_Resp_500m,Lebanese_Tot_Resp_10000m,Lebanese_Tot_Resp_1000m,Lebanese_Tot_Resp_3000m,Lebanese_Tot_Resp_5000m,Lebanese_Tot_Resp_500m,Median_age_persons_10000m,Median_age_persons_1000m,Median_age_persons_3000m,Median_age_persons_5000m,Median_age_persons_500m,Median_mortgage_repay_monthly_10000m,Median_mortgage_repay_monthly_1000m,Median_mortgage_repay_monthly_3000m,Median_mortgage_repay_monthly_5000m,Median_mortgage_repay_monthly_500m,Median_rent_weekly_10000m,Median_rent_weekly_1000m,Median_rent_weekly_3000m,Median_rent_weekly_5000m,Median_rent_weekly_500m,Median_tot_prsnl_inc_weekly_10000m,Median_tot_prsnl_inc_weekly_1000m,Median_tot_prsnl_inc_weekly_3000m,Median_tot_prsnl_inc_weekly_5000m,Median_tot_prsnl_inc_weekly_500m,NZ_Tot_Resp_10000m,NZ_Tot_Resp_1000m,NZ_Tot_Resp_3000m,NZ_Tot_Resp_5000m,NZ_Tot_Resp_500m,Othr_Rel_Sikhism_P_10000m,Othr_Rel_Sikhism_P_1000m,Othr_Rel_Sikhism_P_3000m,Othr_Rel_Sikhism_P_5000m,Othr_Rel_Sikhism_P_500m,Percent_Unem_loyment_P_10000m,Percent_Unem_loyment_P_1000m,Percent_Unem_loyment_P_3000m,Percent_Unem_loyment_P_5000m,Percent_Unem_loyment_P_500m,Sri_Lankan_Tot_Resp_10000m,Sri_Lankan_Tot_Resp_1000m,Sri_Lankan_Tot_Resp_3000m,Sri_Lankan_Tot_Resp_5000m,Sri_Lankan_Tot_Resp_500m,Sth_African_Tot_Resp_10000m,Sth_African_Tot_Resp_1000m,Sth_African_Tot_Resp_3000m,Sth_African_Tot_Resp_5000m,Sth_African_Tot_Resp_500m,Tot_persons_C06_P_10000m,Tot_persons_C06_P_1000m,Tot_persons_C06_P_3000m,Tot_persons_C06_P_5000m,Tot_persons_C06_P_500m,Tot_persons_C11_P_10000m,Tot_persons_C11_P_1000m,Tot_persons_C11_P_3000m,Tot_persons_C11_P_5000m,Tot_persons_C11_P_500m,Tot_persons_C16_P_10000m,Tot_persons_C16_P_1000m,Tot_persons_C16_P_3000m,Tot_persons_C16_P_5000m,Tot_persons_C16_P_500m,Total_DS_Flat_apart_10000m,Total_DS_Flat_apart_1000m,Total_DS_Flat_apart_3000m,Total_DS_Flat_apart_5000m,Total_DS_Flat_apart_500m,Total_DS_Sep_house_10000m,Total_DS_Sep_house_1000m,Total_DS_Sep_house_3000m,Total_DS_Sep_house_5000m,Total_DS_Sep_house_500m,Vietnamese_Tot_Resp_10000m,Vietnamese_Tot_Resp_1000m,Vietnamese_Tot_Resp_3000m,Vietnamese_Tot_Resp_5000m,Vietnamese_Tot_Resp_500m,average_MVs_per_dwelling_10000m,average_MVs_per_dwelling_1000m,average_MVs_per_dwelling_3000m,average_MVs_per_dwelling_5000m,average_MVs_per_dwelling_500m,english_speaker_percentage_10000m,english_speaker_percentage_1000m,english_speaker_percentage_3000m,english_speaker_percentage_5000m,english_speaker_percentage_500m,growth_rate_10yr_10000m,growth_rate_10yr_1000m,growth_rate_10yr_3000m,growth_rate_10yr_5000m,growth_rate_10yr_500m,growth_rate_5yr_10000m,growth_rate_5yr_1000m,growth_rate_5yr_3000m,growth_rate_5yr_5000m,growth_rate_5yr_500m,higher_education_P_10000m,higher_education_P_1000m,higher_education_P_3000m,higher_education_P_5000m,higher_education_P_500m,motor_commuters_sum_10000m,motor_commuters_sum_1000m,motor_commuters_sum_3000m,motor_commuters_sum_5000m,motor_commuters_sum_500m,tradies_P_10000m,tradies_P_1000m,tradies_P_3000m,tradies_P_5000m,tradies_P_500m
10006,2.62248611715,2.6,2.6,2.6,2.6,161.537477539,57.0,57.0,57.0,57.0,108.386756231,61.0,61.0,61.0,61.0,7471.63430404,8735.0,8735.0,8735.0,8735.0,6359.20905105,5643.0,5643.0,5643.0,5643.0,51.2672098737,65.0,65.0,65.0,65.0,62.9884677286,54.0,54.0,54.0,54.0,33.9497068043,23.0,23.0,23.0,23.0,69.0013933325,29.0,29.0,29.0,29.0,8.12322152796,10.0,10.0,10.0,10.0,20.2235546132,4.0,4.0,4.0,4.0,20.4221763649,0.0,0.0,0.0,0.0,4.62469496683,13.0,13.0,13.0,13.0,44.4652994347,42.0,42.0,42.0,42.0,1837.77628744,1550.0,1550.0,1550.0,1550.0,368.426799159,288.0,288.0,288.0,288.0,621.403151693,524.0,524.0,524.0,524.0,273.829744994,188.0,188.0,188.0,188.0,11.2787896585,9.0,9.0,9.0,9.0,5.40545943984,7.7,7.7,7.7,7.7,8.27037843146,5.0,5.0,5.0,5.0,61.3981143363,28.0,28.0,28.0,28.0,12270.3103206,10874.0,10874.0,10874.0,10874.0,13261.868658,12379.0,12379.0,12379.0,12379.0,14504.6414527,13915.0,13915.0,13915.0,13915.0,31.163140151,123.0,123.0,123.0,123.0,4812.33617094,4253.0,4253.0,4253.0,4253.0,3.57010907431,3.0,3.0,3.0,3.0,2.09670473983,1.9537037037,1.9537037037,1.9537037037,1.9537037037,0.0504669132206,0.0263488080301,0.0263488080301,0.0263488080301,0.0263488080301,-0.52699747039,0.0655737704918,0.0655737704918,0.0655737704918,0.0655737704918,-0.991938115344,-0.988481304271,-0.988481304271,-0.988481304271,-0.988481304271,6190.73746602,4126.0,4126.0,4126.0,4126.0,4702.62868855,3943.0,3943.0,3943.0,3943.0,1339.25488448,1164.0,1164.0,1164.0,1164.0
10101,2.65695312878,2.23174501692,2.25352487678,2.3538860289,2.20697632829,77.2825183913,134.332040804,106.768761726,98.4315177496,181.53494174,97.3298120602,148.327844401,123.782121462,120.14656371,200.805491012,7645.83822894,6499.46691939,6334.49440695,6923.55297654,7689.50461993,4335.2929943,4299.75281576,4100.50065099,4270.4820812,4950.99681156,73.6490699286,85.5790013259,88.8998459643,94.8583792489,106.188211851,24.5694396444,27.2857524861,25.7956674755,25.306294171,32.009071807,54.7798481573,78.8111697921,61.8995256288,74.3488553597,108.810652456,73.4001595023,100.536769864,84.0781509223,95.9542580904,131.481053801,70.8304136094,93.3010918915,67.1996333367,89.015893302,132.745454192,2.30200726244,5.56014207191,5.36910931548,4.91275002233,5.82197980162,12.7938616349,35.3570231155,24.6898571975,22.4764786167,51.5658696139,18.9603843338,33.045686922,24.7356691605,24.1354056732,44.3523358674,38.2607619993,37.9289968295,38.2109298108,38.4800158846,37.9357358834,1627.56856401,1513.87709735,1501.40408487,1536.93164852,1494.97127376,297.546094556,263.45499658,270.085018695,283.399812894,260.613682899,668.388298673,649.650554244,666.642227494,663.927521529,622.570035251,69.8825650967,87.3681779663,80.4216593087,75.7595470688,99.7919489197,14.0630821138,14.6948423474,15.3552221869,16.4228696025,15.0725993995,6.03715677862,8.09143624339,7.73368228884,7.35635920465,8.44256887256,11.7130166275,26.3586083989,20.8317997233,21.7643508983,33.8158139006,38.8748211395,35.1083097522,32.9583950985,37.475125103,39.6067583633,9226.57467113,10790.4729235,10176.1797003,10171.4384113,12740.8767797,10289.9712254,10687.7712784,10126.2070894,10429.8443309,12536.2026332,11248.2317886,10628.659006,10065.2352839,10656.8441133,12575.297651,114.828949349,219.269454441,242.549411771,234.970583004,285.278699144,3363.8295312,3137.78718094,2994.90397859,3155.36143027,3659.74208744,8.15303594687,12.624265944,12.9793358676,13.1759476796,16.4903643085,2.05021965646,1.57705691936,1.59633718101,1.69429265107,1.54483264362,0.0544680312771,0.0753619042454,0.0654887012623,0.0678754451768,0.0845782434583,-0.243304097998,-0.423041562617,-0.281803826642,-0.210477800449,-0.471188704475,-0.983011743376,-0.980096762537,-0.978319758115,-0.977787430682,-0.978552155073,4260.84604199,4671.65901826,4189.44263263,4259.19000358,5124.27003474,4262.83218883,3977.88232925,3675.93640364,3864.56885778,4372.63315904,1056.77787113,934.822388881,836.965705822,894.241266551,1077.73775325
10266,2.79692502094,2.49512750939,2.62543079662,2.7831529101,2.48535117248,112.064770436,102.457633544,114.379119311,111.65067003,103.140619795,153.638799102,152.140396646,160.704329424,163.644619339,161.46873265,4957.86571912,6091.44542354,5884.32482381,5883.00869778,6466.51685256,3538.07661243,4507.06799824,4366.5170241,4295.08629676,4796.16800585,100.107675357,200.987763495,170.53604873,130.418726044,215.855887548,51.2506338834,38.3994517934,46.4877296673,57.394804647,36.651042245,54.369333007,43.6453068655,45.4517860751,50.0845139419,43.9149295917,109.783972683,93.8573825255,96.7136741614,105.900079147,95.1788169383,107.680969731,202.860372187,164.358353992,112.509950756,242.265578155,4.98856944283,7.09652605172,5.55921225183,5.09555976374,8.48090142833,17.6961280436,17.3553096241,21.802877996,20.1707778843,17.6128451017,19.7284281081,17.4708592323,25.1400106524,26.4192127209,17.39583102,36.7519401459,36.852068695,35.9105497212,35.5764648583,37.0,1768.52139633,1395.91477266,1519.23198314,1723.8745425,1360.02407714,364.400171833,306.562907772,327.155221721,360.020365514,306.337793119,659.295157033,520.981913967,587.973304953,660.007580556,507.101671707,192.320160964,261.392715968,274.090233907,273.71655589,271.16664816,25.8184269576,19.6751877706,19.8197745904,21.3994355426,22.3107606117,8.32284783416,13.1547359361,11.0752212276,8.65618843294,13.6242140697,13.0696167577,11.5786617189,11.845622386,14.8986102201,12.8298591833,53.3819434828,36.2561679369,50.4877781941,70.3393096241,36.442704285,7265.97985222,8536.84666319,8506.55558229,7841.06255687,8611.86265078,8017.21208667,10633.605201,10148.3361587,9402.5935964,11163.1885176,8748.59786491,11478.3381977,10906.6284705,10455.5873919,12224.8705496,108.895085091,337.465608014,222.322672572,118.825893226,335.033013678,2510.0455332,3185.66627306,3070.88696033,3001.84005924,3436.67673749,32.948311579,24.9753004735,30.276963756,26.6078127988,21.1232675517,1.9946511148,1.55129597832,1.72500751523,1.91992730098,1.51534735189,0.112114037016,0.11718509421,0.111317761847,0.099601170615,0.120466179018,-0.348421909425,0.321067697507,0.0611789323977,-0.20303688217,0.33682778087,-0.971705622483,-0.9554060947,-0.960944604638,-0.969635365384,-0.954994093767,3437.87009669,3538.26743104,3697.71856733,4156.83032794,3654.04952357,3337.69327218,3209.77405184,3518.28673458,4087.48137946,3264.92577165,900.384891076,950.296853713,1006.99270885,1101.47607423,974.098333995
10435,2.56238184345,2.5,2.42175894078,2.46952427107,2.5,135.516650651,45.0,69.266413301,98.0010190035,45.0,88.9901642785,54.0,67.5219458679,78.4710732874,54.0,9516.74287266,4190.0,5771.91139827,7457.00112214,4190.0,7220.66550848,3042.0,4371.97950185,5690.47278314,3042.0,90.8303502355,38.0,68.7344802047,84.8711807333,38.0,30.4717125707,28.0,28.5255524206,29.3154477316,28.0,11.5316427681,12.0,14.4104868686,14.1647264679,12.0,35.2983216896,26.0,37.2450315454,39.8617568378,26.0,15.1740929354,15.0,17.1609240628,17.1352564878,15.0,19.0331622991,0.0,5.97778581474,11.9863794845,0.0,4.10479877628,0.0,4.3482749347,5.52702074705,0.0,15.8649225036,3.0,5.05963908792,9.19680425974,3.0,45.3277662313,43.0,42.4752488822,43.6016799591,43.0,1337.79159145,1408.0,1340.39544567,1329.27235504,1408.0,250.509225545,265.0,256.233251472,252.516901285,265.0,488.986737062,522.0,504.733594587,495.525685362,522.0,146.687232764,61.0,89.7424000197,116.72299975,61.0,6.29410881337,9.0,9.67969101366,8.76691550241,9.0,9.13766661232,7.5,9.45728027436,9.6125591054,7.5,5.92048434154,11.0,9.63033494921,8.01814011893,11.0,62.8796678454,23.0,28.6797916522,41.531472819,23.0,15168.7683486,4997.0,7876.60960026,11099.8034583,4997.0,15479.5108,6298.0,9230.22568639,12126.8846817,6298.0,16963.9343346,6746.0,9942.33032291,13168.5293265,6746.0,51.428253411,85.0,115.126663596,102.971501992,85.0,5812.66197815,2227.0,3327.88153733,4460.80945497,2227.0,6.45548244832,10.0,13.9768611071,12.6630407863,10.0,2.04669904382,1.80430285478,1.75573140509,1.87136637679,1.80430285478,0.0260674114464,0.029938222715,0.0303200695396,0.0285813575685,0.029938222715,0.0206785319696,-0.296296296296,0.0179576331979,0.0815600854922,-0.296296296296,-0.987420778579,-0.987508218277,-0.984278407487,-0.985085390271,-0.987508218277,6197.41565274,2193.0,3804.14169327,5053.38778913,2193.0,4839.59496972,2062.0,3248.71845277,4096.28949335,2062.0,1536.73536159,512.0,908.495484029,1232.50619095,512.0
10436,2.79805244541,2.84678351531,2.84004871384,2.82731274807,2.8888689492,145.772817533,291.890707255,269.184573145,215.117531725,310.885777286,232.054528468,530.82761752,484.462692721,376.641123293,584.440921688,9063.74121792,14787.5799175,14011.7098554,11950.1065253,15158.8267596,6763.92099879,11349.7535447,10697.8750092,9066.87716422,11570.5009857,235.968302266,490.240753506,453.935987186,358.052655911,532.72676813,64.7776238587,113.635657219,107.932277691,90.7390003884,119.367897287,174.217664741,480.184812036,449.209694983,331.587160022,542.677468466,261.308625292,705.534858287,661.421524121,491.288593674,791.518459311,55.9807314654,142.099554283,132.656416697,98.4002747983,158.734290167,10.4528163916,26.5777478767,23.7955054229,18.272328495,24.8917949155,25.546978112,72.8327979131,65.6324802034,50.0277816713,84.4096749137,18.1066632598,21.3689008493,22.3590204716,20.9286413838,22.0432820338,35.7376582914,31.7660824234,31.6957548156,32.8791886554,31.555655254,1843.93636201,1908.61392743,1911.09563651,1888.74412695,1949.64722547,356.231977154,375.48536245,374.09578937,367.257986489,382.219031872,698.980777453,750.184178229,754.506346515,734.779758519,762.49416764,314.488986946,669.600538219,618.696524379,490.776888299,699.947691521,50.3403754339,122.238785635,123.121205489,94.4315797345,137.299965422,7.71353228126,7.97456181758,7.79701417357,7.83133504389,7.81674144051,34.9845426627,88.4268101917,80.9708115719,60.8273165493,96.5193844057,147.27624132,401.057287018,362.699226399,272.476239815,456.918528467,10980.9259923,12514.8628544,11901.8014514,11493.3475899,11631.6482964,13613.5988854,19839.1268018,18602.9455246,16462.5666019,19721.4472851,16088.1627833,27398.0374905,25853.6770296,21810.7533515,28091.8633324,171.62991557,176.981145402,149.347299146,139.927502911,199.797708811,4574.37305988,7342.45747202,6888.89291798,5917.70496943,7492.28249184,21.7048371388,47.1600538219,41.3329882822,32.8253762989,50.1947691521,1.9121139902,1.82495045261,1.83414450408,1.85422075326,1.83552786792,0.0910494904841,0.124476857783,0.121947345941,0.112001487024,0.132775940714,0.0168657505792,-0.0764595938003,-0.0630114681562,-0.0493532602603,-0.0884848265048,-0.965113681501,-0.956806044151,-0.957567649015,-0.960509815075,-0.953958193445,7219.6735715,10731.9112306,10316.1298063,9289.50664775,11132.1437069,6552.57194951,9779.75661072,9447.82798792,8495.75146513,10046.2626208,1662.04769834,2350.14031278,2273.66365469,2068.80854911,2364.65978747
10438,2.78555852477,2.90760535027,2.89221022826,2.88505690124,2.90447959265,71.8703692173,96.1592656079,84.4705614717,82.6916934047,113.346963019,109.089770394,150.25745813,128.867958471,127.403532384,181.59625407,6345.70963375,10024.3515381,8223.89239957,8005.63948009,11946.7400267,4327.80223184,7085.40778692,5634.70105243,5441.01482107,8567.47121408,107.869121059,140.071755393,144.647623978,145.640289393,157.161841348,61.8504966006,87.3398749145,83.1583706259,83.179452937,96.6589065588,34.5720224305,39.1587172493,43.9924648738,44.3421961908,39.4781375741,82.775978174,99.8823250464,94.3039972406,93.1688985331,100.760931213,25.2053477707,27.937065647,26.0081936052,26.5157212991,34.927125247,2.90310840925,3.66773877473,2.65607349678,2.57699816685,4.0,11.9576182892,17.2839795826,15.5395414376,15.0771289578,19.6049594429,6.52256939324,12.862394419,8.09476775439,7.49636514535,16.9708500988,31.8574026253,29.3332284384,29.75262053,29.9456164039,29.089591853,1858.97757053,1952.12730188,1937.70226645,1929.10678335,1952.23979632,317.424039166,330.0,330.0,329.838870853,330.0,770.961222994,822.959366422,821.180979863,818.712288287,821.940714456,125.506706554,217.526326336,169.991747461,163.997384643,268.099188859,8.87847228062,10.2134315403,11.7332909201,11.8531875076,9.87317813118,8.27999511777,7.91516070283,7.51819713138,7.47968909615,8.18801018378,11.420687084,8.41004861452,9.65809997198,10.2878984374,6.88775308177,39.4887631636,68.0676058974,59.5770783261,57.6176633998,78.1661940341,6154.21256706,6801.17327905,6005.65561438,6108.22073963,7992.09206738,8556.53172273,11841.1195144,10009.1586702,9884.82593804,13985.6864756,10658.6590101,16987.1610163,13699.4063305,13281.3128647,20477.3658937,62.386232351,12.9874827359,9.47026889166,11.2899257385,15.7317813118,3265.76103702,5272.48770417,4263.41424382,4132.52938078,6356.99116364,11.926513638,13.2272036987,11.7451277246,11.5688186971,16.0976719676,1.9611394333,2.02896957059,2.0232149374,2.01783794812,2.01913300186,0.0534272263583,0.0406514258142,0.0484074838483,0.0500325166054,0.0375505345068,-0.0111894023606,-0.0677883338633,0.122448323808,0.143141690564,-0.134553506335,-0.975075311837,-0.980230953587,-0.974329139624,-0.973232881331,-0.981655982562,5583.04181961,7461.78566419,6455.73324903,6289.39684605,8094.20475137,5935.18803141,8038.55767486,6951.11923921,6774.03115224,8721.03209483,1557.59218021,2157.78005246,1847.94989067,1789.53111281,2349.35549686
10439,2.6,2.6,2.6,2.6,2.6,15.0,15.0,15.0,15.0,15.0,38.0,38.0,38.0,38.0,38.0,5405.0,5405.0,5405.0,5405.0,5405.0,2952.0,2952.0,2952.0,2952.0,2952.0,90.0,90.0,90.0,90.0,90.0,9.0,9.0,9.0,9.0,9.0,49.0,49.0,49.0,49.0,49.0,78.0,78.0,78.0,78.0,78.0,29.0,29.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,35.0,35.0,35.0,35.0,35.0,1650.0,1650.0,1650.0,1650.0,1650.0,200.0,200.0,200.0,200.0,200.0,643.0,643.0,643.0,643.0,643.0,57.0,57.0,57.0,57.0,57.0,33.0,33.0,33.0,33.0,33.0,6.4,6.4,6.4,6.4,6.4,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,23.0,5941.0,5941.0,5941.0,5941.0,5941.0,7084.0,7084.0,7084.0,7084.0,7084.0,8129.0,8129.0,8129.0,8129.0,8129.0,176.0,176.0,176.0,176.0,176.0,2368.0,2368.0,2368.0,2368.0,2368.0,7.0,7.0,7.0,7.0,7.0,1.9573523736,1.9573523736,1.9573523736,1.9573523736,1.9573523736,0.0409470752089,0.0409470752089,0.0409470752089,0.0409470752089,0.0409470752089,1.36842105263,1.36842105263,1.36842105263,1.36842105263,1.36842105263,-0.969512195122,-0.969512195122,-0.969512195122,-0.969512195122,-0.969512195122,2399.0,2399.0,2399.0,2399.0,2399.0,2430.0,2430.0,2430.0,2430.0,2430.0,840.0,840.0,840.0,840.0,840.0
10442,3.09130828393,3.19332553622,3.16950834759,3.13426642813,3.2,214.851784648,344.231872205,260.493852864,238.367026643,380.0,343.935995128,493.764873774,384.576532533,360.849686117,534.0,9695.55695221,14713.7823444,11417.737199,10547.6554609,16050.0,7842.50195654,12132.1909179,9449.82723637,8709.06894453,13259.0,181.421922107,296.308117968,237.052486761,210.890578957,316.0,110.945749518,163.077474191,131.755799008,121.856293809,174.0,128.92328719,216.006956932,159.164519124,140.984091424,241.0,211.631759394,337.507011411,248.552403092,222.29212994,375.0,122.054806866,161.341552188,123.69993116,115.361939863,177.0,18.6323776482,22.8469896697,19.6309426776,20.2446480982,25.0,113.629078318,182.766994386,140.206404519,124.407204355,198.0,34.5266688759,46.5601475502,39.5520714671,37.1652839336,48.0,32.3640700391,30.7998680298,30.2255692537,30.8088881111,31.0,2040.45026601,2060.92932221,2061.17305277,2055.57429617,2058.0,417.601906934,418.666636392,416.006451907,416.636444131,420.0,732.132534425,734.800578853,737.167882398,735.62505626,734.0,606.703688416,975.658888333,763.621717798,688.938359503,1062.0,36.9038725734,62.5431938991,48.0798907404,41.6444774994,67.0,7.04345976342,7.16004978539,7.34636110649,7.31662340898,7.1,29.4336039907,46.9676852493,33.7739527764,30.894437451,53.0,218.806616202,373.845260171,293.602783428,263.255153112,398.0,9133.63336423,12885.0603821,9333.74262809,8866.62456499,14367.0,14204.2067917,21747.4432802,16160.4101449,14828.4532381,23921.0,18593.4727467,28641.2690815,22451.4229569,20649.4460771,31214.0,68.1423765723,18.0632688089,32.1636615306,50.4194501356,3.0,4570.4962654,6916.22766389,5334.82470407,4935.34946651,7609.0,26.1811299146,39.2649515583,30.2799163712,28.9004829582,43.0,2.08370744751,2.09888102359,2.07137830253,2.06480681737,2.10989565803,0.0956462489857,0.0948974057528,0.0940065376232,0.0935525453941,0.094573907127,-0.472512546878,-0.399900370183,-0.383601268649,-0.415572225581,-0.408239700375,-0.976866831132,-0.975576701688,-0.974914622159,-0.975784945521,-0.97616713176,8922.20597687,11006.7347352,9783.6510333,9299.75324312,11444.0,9153.84339983,11373.3283871,10081.8104419,9548.97470327,11841.0,2291.79355399,2867.53727539,2542.84489678,2402.3065652,2989.0
10507,2.3,2.3,2.3,2.3,2.3,91.0,91.0,91.0,91.0,91.0,50.0,50.0,50.0,50.0,50.0,3405.0,3405.0,3405.0,3405.0,3405.0,2414.0,2414.0,2414.0,2414.0,2414.0,32.0,32.0,32.0,32.0,32.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,14.0,14.0,14.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,49.0,49.0,49.0,49.0,49.0,1500.0,1500.0,1500.0,1500.0,1500.0,240.0,240.0,240.0,240.0,240.0,452.0,452.0,452.0,452.0,452.0,68.0,68.0,68.0,68.0,68.0,5.0,5.0,5.0,5.0,5.0,12.2,12.2,12.2,12.2,12.2,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,5129.0,5129.0,5129.0,5129.0,5129.0,5534.0,5534.0,5534.0,5534.0,5534.0,6022.0,6022.0,6022.0,6022.0,6022.0,60.0,60.0,60.0,60.0,60.0,2117.0,2117.0,2117.0,2117.0,2117.0,0.0,0.0,0.0,0.0,0.0,1.88133484163,1.88133484163,1.88133484163,1.88133484163,1.88133484163,0.0351228389444,0.0351228389444,0.0351228389444,0.0351228389444,0.0351228389444,-0.36,-0.36,-0.36,-0.36,-0.36,-0.986743993372,-0.986743993372,-0.986743993372,-0.986743993372,-0.986743993372,2021.0,2021.0,2021.0,2021.0,2021.0,1399.0,1399.0,1399.0,1399.0,1399.0,555.0,555.0,555.0,555.0,555.0
10650,2.61654383929,2.7,2.66799706047,2.65711197878,2.7,172.856358299,174.0,170.662962553,169.177135733,174.0,80.5579438794,76.0,81.0284125245,81.9364944091,76.0,5746.02315556,5067.0,5278.17871259,5331.51226086,5067.0,5348.20226016,4838.0,4983.35587734,5020.08464442,4838.0,48.5875195645,45.0,45.1621897376,44.5494988482,45.0,54.8279208046,52.0,52.7765202262,53.2393248764,52.0,27.1233926085,22.0,24.2319624769,24.6197784153,22.0,37.2808996429,23.0,25.9579288872,26.9853887511,23.0,15.572643211,17.0,16.575934689,16.0214883667,17.0,7.6745365271,7.0,8.88301699172,9.38966317795,7.0,6.54631049382,5.0,6.2792147931,6.71809402015,5.0,7.42444870853,4.0,6.56966877414,7.16787418119,4.0,44.3618977102,44.0,43.3120188179,43.2341623788,44.0,1734.07811056,1733.0,1757.37608439,1762.88416149,1733.0,357.7550678,348.0,359.825369551,362.991914276,348.0,606.23973475,604.0,618.851571087,621.626643882,604.0,169.819240285,160.0,173.85866423,176.146949921,160.0,2.49680739557,0.0,1.24340959517,1.58919972182,0.0,6.93243804282,7.1,6.97875717633,6.93704483924,7.1,8.4380958237,4.0,6.65602778793,7.56438158296,4.0,68.6087158575,56.0,67.0474655648,70.0620994291,56.0,9525.83364495,8570.0,8661.01409506,8676.83945071,8570.0,10425.022784,9417.0,9646.95429866,9704.01799899,9417.0,11656.5956465,10548.0,10961.8565292,11061.9291331,10548.0,160.230964718,66.0,149.774756527,168.860219757,66.0,3604.46646402,3303.0,3307.43825257,3316.71943895,3303.0,6.12693192629,3.0,3.60380219862,3.87138523639,3.0,2.04516415685,2.16271892047,2.07168671657,2.04529773231,2.16271892047,0.0442824583494,0.0440657456892,0.0458388914419,0.0461974253726,0.0440657456892,-0.396862466634,-0.407894736842,-0.442637609074,-0.45629234971,-0.407894736842,-0.990915167901,-0.9906986358,-0.990937394228,-0.991125747472,-0.9906986358,5730.04281734,4460.0,4827.44648524,5034.703004,4460.0,4298.86145324,3456.0,3721.4131803,3856.49431298,3456.0,1233.29825068,1009.0,1065.47545016,1099.26640197,1009.0
