"";"cluster";"source";"target";"size"
"428";1;"11-ICE CREAM";"14-HEALTH AND BEAUTY";35
"429";1;"01-GROCERY FOOD";"09-BAKERY";35
"430";1;"10-MILK";"99-SYSTEM";35
"431";5;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";35
"432";2;"07-ICE";"10-MILK";35
"433";2;"08-BREAD";"09-BAKERY";35
"434";2;"03-SNACKS";"08-BREAD";34
"435";2;"05-CHILLED PERISHABLES";"11-ICE CREAM";34
"436";1;"09-BAKERY";"14-HEALTH AND BEAUTY";34
"437";1;"08-BREAD";"09-BAKERY";34
"438";1;"10-MILK";"32-FOODSERVICE PREPARED ON-SITE";34
"439";1;"11-ICE CREAM";"21-PUBLICATIONS";34
"440";4;"03-SNACKS";"99-SYSTEM";33
"441";4;"08-BREAD";"12-CIGARETTES/TOBACCO";33
"442";3;"10-MILK";"22-GENERAL MERCHANDISE";33
"443";3;"11-ICE CREAM";"26-COMMUNICATION";32
"444";3;"03-SNACKS";"08-BREAD";32
"445";5;"12-CIGARETTES/TOBACCO";"99-SYSTEM";32
"446";5;"11-ICE CREAM";"56-LOCAL ITEMS";32
"447";5;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";32
"448";5;"10-MILK";"26-COMMUNICATION";32
"449";2;"05-CHILLED PERISHABLES";"14-HEALTH AND BEAUTY";32
"450";1;"09-BAKERY";"18-AUTOMOTIVE";32
"451";1;"09-BAKERY";"26-COMMUNICATION";31
"452";1;"03-SNACKS";"18-AUTOMOTIVE";31
"453";4;"05-CHILLED PERISHABLES";"14-HEALTH AND BEAUTY";31
"454";4;"05-CHILLED PERISHABLES";"11-ICE CREAM";31
"455";4;"10-MILK";"13-GROCERY NON FOOD";31
"456";4;"02-CONFECTIONERY";"22-GENERAL MERCHANDISE";31
"457";2;"03-SNACKS";"99-SYSTEM";31
"458";2;"10-MILK";"13-GROCERY NON FOOD";31
"459";5;"01-GROCERY FOOD";"04-BEVERAGES";31
"460";3;"07-ICE";"12-CIGARETTES/TOBACCO";30
"461";1;"03-SNACKS";"99-SYSTEM";30
"462";5;"09-BAKERY";"44-TAKE AWAY FOOD PREPARED";30
"463";2;"09-BAKERY";"18-AUTOMOTIVE";30
"464";4;"05-CHILLED PERISHABLES";"08-BREAD";30
"465";1;"10-MILK";"22-GENERAL MERCHANDISE";29
"466";4;"08-BREAD";"09-BAKERY";29
"467";4;"03-SNACKS";"26-COMMUNICATION";29
"468";5;"12-CIGARETTES/TOBACCO";"26-COMMUNICATION";29
"469";5;"10-MILK";"14-HEALTH AND BEAUTY";29
"470";2;"02-CONFECTIONERY";"13-GROCERY NON FOOD";29
"471";2;"12-CIGARETTES/TOBACCO";"22-GENERAL MERCHANDISE";29
"472";2;"02-CONFECTIONERY";"22-GENERAL MERCHANDISE";29
"473";3;"01-GROCERY FOOD";"09-BAKERY";29
"474";3;"09-BAKERY";"14-HEALTH AND BEAUTY";29
"475";3;"05-CHILLED PERISHABLES";"11-ICE CREAM";28
"476";1;"08-BREAD";"21-PUBLICATIONS";28
"477";5;"01-GROCERY FOOD";"10-MILK";28
"478";1;"05-CHILLED PERISHABLES";"14-HEALTH AND BEAUTY";28
"479";4;"09-BAKERY";"99-SYSTEM";28
"480";4;"05-CHILLED PERISHABLES";"56-LOCAL ITEMS";28
"481";2;"03-SNACKS";"26-COMMUNICATION";28
"482";4;"01-GROCERY FOOD";"12-CIGARETTES/TOBACCO";27
"483";4;"01-GROCERY FOOD";"09-BAKERY";27
"484";5;"10-MILK";"18-AUTOMOTIVE";27
"485";5;"12-CIGARETTES/TOBACCO";"43-MEAL REPLACEMENTS";27
"486";3;"11-ICE CREAM";"21-PUBLICATIONS";27
"487";1;"05-CHILLED PERISHABLES";"13-GROCERY NON FOOD";27
"488";2;"03-SNACKS";"18-AUTOMOTIVE";27
"489";2;"10-MILK";"22-GENERAL MERCHANDISE";27
"490";3;"03-SNACKS";"18-AUTOMOTIVE";26
"491";3;"05-CHILLED PERISHABLES";"26-COMMUNICATION";26
"492";2;"32-FOODSERVICE PREPARED ON-SITE";"43-MEAL REPLACEMENTS";26
"493";3;"02-CONFECTIONERY";"07-ICE";25
"494";3;"08-BREAD";"11-ICE CREAM";25
"495";3;"01-GROCERY FOOD";"08-BREAD";25
"496";1;"11-ICE CREAM";"99-SYSTEM";25
"497";4;"03-SNACKS";"18-AUTOMOTIVE";24
"498";1;"12-CIGARETTES/TOBACCO";"22-GENERAL MERCHANDISE";24
"499";1;"01-GROCERY FOOD";"11-ICE CREAM";24
"500";2;"21-PUBLICATIONS";"43-MEAL REPLACEMENTS";24
"501";2;"07-ICE";"09-BAKERY";24
"502";1;"11-ICE CREAM";"26-COMMUNICATION";24
"503";3;"03-SNACKS";"13-GROCERY NON FOOD";24
"504";3;"02-CONFECTIONERY";"99-SYSTEM";24
"505";5;"11-ICE CREAM";"32-FOODSERVICE PREPARED ON-SITE";24
"506";5;"02-CONFECTIONERY";"26-COMMUNICATION";23
"507";5;"03-SNACKS";"21-PUBLICATIONS";23
"508";2;"01-GROCERY FOOD";"08-BREAD";23
"509";2;"11-ICE CREAM";"26-COMMUNICATION";23
"510";2;"07-ICE";"12-CIGARETTES/TOBACCO";23
"511";2;"12-CIGARETTES/TOBACCO";"13-GROCERY NON FOOD";23
"512";5;"03-SNACKS";"43-MEAL REPLACEMENTS";23
"513";3;"11-ICE CREAM";"13-GROCERY NON FOOD";23
"514";3;"10-MILK";"99-SYSTEM";23
"515";1;"21-PUBLICATIONS";"43-MEAL REPLACEMENTS";23
"516";1;"07-ICE";"10-MILK";23
"517";1;"09-BAKERY";"13-GROCERY NON FOOD";23
"518";1;"11-ICE CREAM";"13-GROCERY NON FOOD";23
"519";1;"08-BREAD";"56-LOCAL ITEMS";23
"520";4;"01-GROCERY FOOD";"08-BREAD";22
"521";2;"02-CONFECTIONERY";"07-ICE";22
"522";2;"05-CHILLED PERISHABLES";"26-COMMUNICATION";22
"523";1;"08-BREAD";"13-GROCERY NON FOOD";22
"524";4;"03-SNACKS";"13-GROCERY NON FOOD";22
"525";3;"32-FOODSERVICE PREPARED ON-SITE";"56-LOCAL ITEMS";22
"526";3;"09-BAKERY";"18-AUTOMOTIVE";22
"527";5;"12-CIGARETTES/TOBACCO";"14-HEALTH AND BEAUTY";22
"528";5;"02-CONFECTIONERY";"22-GENERAL MERCHANDISE";22
"529";5;"09-BAKERY";"11-ICE CREAM";22
"530";2;"08-BREAD";"11-ICE CREAM";21
"531";2;"43-MEAL REPLACEMENTS";"56-LOCAL ITEMS";21
"532";5;"12-CIGARETTES/TOBACCO";"18-AUTOMOTIVE";21
"533";5;"05-CHILLED PERISHABLES";"56-LOCAL ITEMS";21
"534";1;"09-BAKERY";"99-SYSTEM";21
"535";1;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";21
"536";3;"11-ICE CREAM";"32-FOODSERVICE PREPARED ON-SITE";20
"537";3;"12-CIGARETTES/TOBACCO";"22-GENERAL MERCHANDISE";20
"538";3;"03-SNACKS";"07-ICE";20
"539";3;"01-GROCERY FOOD";"11-ICE CREAM";20
"540";4;"02-CONFECTIONERY";"44-TAKE AWAY FOOD PREPARED";20
"541";4;"08-BREAD";"21-PUBLICATIONS";20
"542";1;"21-PUBLICATIONS";"99-SYSTEM";20
"543";1;"03-SNACKS";"22-GENERAL MERCHANDISE";20
"544";1;"03-SNACKS";"32-FOODSERVICE PREPARED ON-SITE";20
"545";4;"05-CHILLED PERISHABLES";"99-SYSTEM";20
"546";2;"11-ICE CREAM";"14-HEALTH AND BEAUTY";19
"547";3;"09-BAKERY";"22-GENERAL MERCHANDISE";19
"548";1;"03-SNACKS";"26-COMMUNICATION";19
"549";1;"02-CONFECTIONERY";"07-ICE";19
"550";1;"01-GROCERY FOOD";"56-LOCAL ITEMS";19
"551";5;"01-GROCERY FOOD";"03-SNACKS";19
"552";5;"09-BAKERY";"21-PUBLICATIONS";19
"553";5;"32-FOODSERVICE PREPARED ON-SITE";"43-MEAL REPLACEMENTS";19
"554";4;"11-ICE CREAM";"56-LOCAL ITEMS";19
"555";4;"03-SNACKS";"22-GENERAL MERCHANDISE";19
"556";4;"05-CHILLED PERISHABLES";"32-FOODSERVICE PREPARED ON-SITE";19
"557";4;"12-CIGARETTES/TOBACCO";"13-GROCERY NON FOOD";19
"558";4;"10-MILK";"99-SYSTEM";18
"559";4;"11-ICE CREAM";"21-PUBLICATIONS";18
"560";4;"07-ICE";"10-MILK";18
"561";3;"05-CHILLED PERISHABLES";"14-HEALTH AND BEAUTY";18
"562";3;"01-GROCERY FOOD";"13-GROCERY NON FOOD";18
"563";3;"21-PUBLICATIONS";"51-AUSTRALIA POST";18
"564";3;"01-GROCERY FOOD";"56-LOCAL ITEMS";18
"565";3;"05-CHILLED PERISHABLES";"13-GROCERY NON FOOD";18
"566";5;"04-BEVERAGES";"08-BREAD";18
"567";3;"11-ICE CREAM";"14-HEALTH AND BEAUTY";17
"568";3;"11-ICE CREAM";"43-MEAL REPLACEMENTS";17
"569";3;"09-BAKERY";"13-GROCERY NON FOOD";17
"570";3;"21-PUBLICATIONS";"26-COMMUNICATION";17
"571";3;"21-PUBLICATIONS";"32-FOODSERVICE PREPARED ON-SITE";17
"572";3;"13-GROCERY NON FOOD";"14-HEALTH AND BEAUTY";17
"573";4;"10-MILK";"44-TAKE AWAY FOOD PREPARED";17
"574";4;"03-SNACKS";"32-FOODSERVICE PREPARED ON-SITE";17
"575";1;"18-AUTOMOTIVE";"99-SYSTEM";17
"576";1;"09-BAKERY";"22-GENERAL MERCHANDISE";17
"577";1;"01-GROCERY FOOD";"13-GROCERY NON FOOD";17
"578";5;"01-GROCERY FOOD";"02-CONFECTIONERY";17
"579";5;"07-ICE";"10-MILK";17
"580";2;"05-CHILLED PERISHABLES";"99-SYSTEM";16
"581";2;"03-SNACKS";"13-GROCERY NON FOOD";16
"582";2;"05-CHILLED PERISHABLES";"18-AUTOMOTIVE";16
"583";2;"04-BEVERAGES";"19-AUTOMOTIVE SERVICES";16
"584";2;"26-COMMUNICATION";"56-LOCAL ITEMS";16
"585";5;"02-CONFECTIONERY";"18-AUTOMOTIVE";16
"586";5;"02-CONFECTIONERY";"08-BREAD";16
"587";5;"09-BAKERY";"43-MEAL REPLACEMENTS";16
"588";5;"03-SNACKS";"99-SYSTEM";16
"589";5;"10-MILK";"43-MEAL REPLACEMENTS";16
"590";5;"11-ICE CREAM";"99-SYSTEM";16
"591";5;"11-ICE CREAM";"21-PUBLICATIONS";16
"592";4;"11-ICE CREAM";"14-HEALTH AND BEAUTY";16
"593";4;"44-TAKE AWAY FOOD PREPARED";"56-LOCAL ITEMS";16
"594";4;"05-CHILLED PERISHABLES";"26-COMMUNICATION";16
"595";4;"02-CONFECTIONERY";"07-ICE";16
"596";4;"01-GROCERY FOOD";"11-ICE CREAM";16
"597";1;"07-ICE";"09-BAKERY";16
"598";3;"21-PUBLICATIONS";"43-MEAL REPLACEMENTS";16
"599";3;"26-COMMUNICATION";"56-LOCAL ITEMS";16
"600";3;"12-CIGARETTES/TOBACCO";"99-SYSTEM";16
"601";3;"01-GROCERY FOOD";"43-MEAL REPLACEMENTS";16
"602";1;"01-GROCERY FOOD";"43-MEAL REPLACEMENTS";16
"603";1;"02-CONFECTIONERY";"19-AUTOMOTIVE SERVICES";16
"604";1;"07-ICE";"12-CIGARETTES/TOBACCO";16
"605";1;"11-ICE CREAM";"43-MEAL REPLACEMENTS";16
"606";4;"11-ICE CREAM";"43-MEAL REPLACEMENTS";15
"607";4;"12-CIGARETTES/TOBACCO";"22-GENERAL MERCHANDISE";15
"608";4;"21-PUBLICATIONS";"32-FOODSERVICE PREPARED ON-SITE";15
"609";3;"14-HEALTH AND BEAUTY";"56-LOCAL ITEMS";15
"610";3;"08-BREAD";"21-PUBLICATIONS";15
"611";1;"05-CHILLED PERISHABLES";"99-SYSTEM";15
"612";1;"05-CHILLED PERISHABLES";"26-COMMUNICATION";15
"613";1;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";15
"614";1;"26-COMMUNICATION";"43-MEAL REPLACEMENTS";15
"615";1;"13-GROCERY NON FOOD";"14-HEALTH AND BEAUTY";15
"616";5;"26-COMMUNICATION";"56-LOCAL ITEMS";15
"617";5;"10-MILK";"22-GENERAL MERCHANDISE";15
"618";5;"18-AUTOMOTIVE";"32-FOODSERVICE PREPARED ON-SITE";15
"619";2;"14-HEALTH AND BEAUTY";"32-FOODSERVICE PREPARED ON-SITE";15
"620";2;"09-BAKERY";"22-GENERAL MERCHANDISE";15
"621";2;"11-ICE CREAM";"21-PUBLICATIONS";15
"622";2;"13-GROCERY NON FOOD";"14-HEALTH AND BEAUTY";15
"623";2;"18-AUTOMOTIVE";"56-LOCAL ITEMS";15
"624";2;"18-AUTOMOTIVE";"99-SYSTEM";15
"625";2;"21-PUBLICATIONS";"26-COMMUNICATION";15
"626";2;"02-CONFECTIONERY";"44-TAKE AWAY FOOD PREPARED";14
"627";2;"11-ICE CREAM";"56-LOCAL ITEMS";14
"628";2;"08-BREAD";"21-PUBLICATIONS";14
"629";5;"04-BEVERAGES";"13-GROCERY NON FOOD";14
"630";1;"13-GROCERY NON FOOD";"56-LOCAL ITEMS";14
"631";2;"14-HEALTH AND BEAUTY";"21-PUBLICATIONS";14
"632";4;"11-ICE CREAM";"99-SYSTEM";14
"633";4;"21-PUBLICATIONS";"56-LOCAL ITEMS";14
"634";4;"04-BEVERAGES";"19-AUTOMOTIVE SERVICES";14
"635";4;"08-BREAD";"11-ICE CREAM";14
"636";4;"11-ICE CREAM";"26-COMMUNICATION";14
"637";3;"03-SNACKS";"22-GENERAL MERCHANDISE";14
"638";3;"04-BEVERAGES";"06-FROZEN FOODS";14
"639";3;"08-BREAD";"13-GROCERY NON FOOD";14
"640";3;"08-BREAD";"56-LOCAL ITEMS";14
"641";3;"07-ICE";"09-BAKERY";14
"642";3;"26-COMMUNICATION";"32-FOODSERVICE PREPARED ON-SITE";13
"643";3;"14-HEALTH AND BEAUTY";"26-COMMUNICATION";13
"644";3;"04-BEVERAGES";"19-AUTOMOTIVE SERVICES";13
"645";3;"26-COMMUNICATION";"43-MEAL REPLACEMENTS";13
"646";3;"09-BAKERY";"99-SYSTEM";13
"647";3;"01-GROCERY FOOD";"14-HEALTH AND BEAUTY";13
"648";3;"11-ICE CREAM";"18-AUTOMOTIVE";13
"649";1;"14-HEALTH AND BEAUTY";"43-MEAL REPLACEMENTS";13
"650";1;"04-BEVERAGES";"06-FROZEN FOODS";13
"651";5;"02-CONFECTIONERY";"44-TAKE AWAY FOOD PREPARED";13
"652";5;"10-MILK";"13-GROCERY NON FOOD";13
"653";1;"14-HEALTH AND BEAUTY";"56-LOCAL ITEMS";13
"654";1;"01-GROCERY FOOD";"21-PUBLICATIONS";13
"655";1;"03-SNACKS";"07-ICE";13
"656";1;"13-GROCERY NON FOOD";"21-PUBLICATIONS";13
"657";2;"01-GROCERY FOOD";"43-MEAL REPLACEMENTS";13
"658";2;"12-CIGARETTES/TOBACCO";"44-TAKE AWAY FOOD PREPARED";13
"659";2;"03-SNACKS";"22-GENERAL MERCHANDISE";13
"660";4;"05-CHILLED PERISHABLES";"18-AUTOMOTIVE";13
"661";4;"13-GROCERY NON FOOD";"14-HEALTH AND BEAUTY";13
"662";1;"18-AUTOMOTIVE";"21-PUBLICATIONS";12
"663";1;"05-CHILLED PERISHABLES";"18-AUTOMOTIVE";12
"664";1;"04-BEVERAGES";"19-AUTOMOTIVE SERVICES";12
"665";1;"22-GENERAL MERCHANDISE";"56-LOCAL ITEMS";12
"666";3;"18-AUTOMOTIVE";"26-COMMUNICATION";12
"667";4;"18-AUTOMOTIVE";"21-PUBLICATIONS";12
"668";4;"21-PUBLICATIONS";"43-MEAL REPLACEMENTS";12
"669";5;"22-GENERAL MERCHANDISE";"32-FOODSERVICE PREPARED ON-SITE";12
"670";5;"09-BAKERY";"18-AUTOMOTIVE";12
"671";5;"26-COMMUNICATION";"32-FOODSERVICE PREPARED ON-SITE";12
"672";2;"26-COMMUNICATION";"32-FOODSERVICE PREPARED ON-SITE";12
"673";2;"14-HEALTH AND BEAUTY";"26-COMMUNICATION";12
"674";2;"09-BAKERY";"13-GROCERY NON FOOD";12
"675";2;"14-HEALTH AND BEAUTY";"43-MEAL REPLACEMENTS";12
"676";2;"21-PUBLICATIONS";"99-SYSTEM";12
"677";2;"18-AUTOMOTIVE";"21-PUBLICATIONS";12
"678";2;"11-ICE CREAM";"32-FOODSERVICE PREPARED ON-SITE";12
"679";2;"11-ICE CREAM";"43-MEAL REPLACEMENTS";12
"680";2;"11-ICE CREAM";"18-AUTOMOTIVE";12
"681";5;"05-CHILLED PERISHABLES";"43-MEAL REPLACEMENTS";11
"682";5;"02-CONFECTIONERY";"07-ICE";11
"683";5;"01-GROCERY FOOD";"12-CIGARETTES/TOBACCO";11
"684";5;"02-CONFECTIONERY";"45-ALTERNATE BUSINESS – TAKEAWAY";11
"685";1;"11-ICE CREAM";"18-AUTOMOTIVE";11
"686";1;"07-ICE";"22-GENERAL MERCHANDISE";11
"687";1;"43-MEAL REPLACEMENTS";"56-LOCAL ITEMS";11
"688";1;"05-CHILLED PERISHABLES";"32-FOODSERVICE PREPARED ON-SITE";11
"689";1;"21-PUBLICATIONS";"26-COMMUNICATION";11
"690";1;"14-HEALTH AND BEAUTY";"21-PUBLICATIONS";11
"691";1;"26-COMMUNICATION";"56-LOCAL ITEMS";11
"692";1;"13-GROCERY NON FOOD";"18-AUTOMOTIVE";11
"693";4;"14-HEALTH AND BEAUTY";"43-MEAL REPLACEMENTS";11
"694";4;"18-AUTOMOTIVE";"26-COMMUNICATION";11
"695";4;"07-ICE";"09-BAKERY";11
"696";2;"14-HEALTH AND BEAUTY";"18-AUTOMOTIVE";11
"697";2;"02-CONFECTIONERY";"19-AUTOMOTIVE SERVICES";11
"698";3;"43-MEAL REPLACEMENTS";"56-LOCAL ITEMS";11
"699";3;"13-GROCERY NON FOOD";"26-COMMUNICATION";11
"700";5;"03-SNACKS";"14-HEALTH AND BEAUTY";10
"701";5;"08-BREAD";"12-CIGARETTES/TOBACCO";10
"702";5;"07-ICE";"12-CIGARETTES/TOBACCO";10
"703";1;"21-PUBLICATIONS";"32-FOODSERVICE PREPARED ON-SITE";10
"704";2;"32-FOODSERVICE PREPARED ON-SITE";"99-SYSTEM";10
"705";2;"11-ICE CREAM";"13-GROCERY NON FOOD";10
"706";2;"56-LOCAL ITEMS";"99-SYSTEM";10
"707";2;"01-GROCERY FOOD";"32-FOODSERVICE PREPARED ON-SITE";10
"708";2;"08-BREAD";"32-FOODSERVICE PREPARED ON-SITE";10
"709";1;"08-BREAD";"14-HEALTH AND BEAUTY";10
"710";4;"01-GROCERY FOOD";"43-MEAL REPLACEMENTS";10
"711";4;"11-ICE CREAM";"13-GROCERY NON FOOD";10
"712";4;"10-MILK";"22-GENERAL MERCHANDISE";10
"713";4;"11-ICE CREAM";"18-AUTOMOTIVE";10
"714";3;"03-SNACKS";"99-SYSTEM";10
"715";3;"11-ICE CREAM";"22-GENERAL MERCHANDISE";10
"716";3;"10-MILK";"31-SERVICES";10
"717";3;"03-SNACKS";"39-LIQUOR";10
"718";3;"12-CIGARETTES/TOBACCO";"39-LIQUOR";10
"719";3;"13-GROCERY NON FOOD";"21-PUBLICATIONS";10
"720";3;"02-CONFECTIONERY";"31-SERVICES";10
"721";1;"32-FOODSERVICE PREPARED ON-SITE";"56-LOCAL ITEMS";9
"722";1;"05-CHILLED PERISHABLES";"06-FROZEN FOODS";9
"723";4;"07-ICE";"12-CIGARETTES/TOBACCO";9
"724";4;"05-CHILLED PERISHABLES";"13-GROCERY NON FOOD";9
"725";4;"03-SNACKS";"07-ICE";9
"726";4;"11-ICE CREAM";"32-FOODSERVICE PREPARED ON-SITE";9
"727";4;"09-BAKERY";"13-GROCERY NON FOOD";9
"728";4;"18-AUTOMOTIVE";"56-LOCAL ITEMS";9
"729";4;"21-PUBLICATIONS";"26-COMMUNICATION";9
"730";4;"32-FOODSERVICE PREPARED ON-SITE";"56-LOCAL ITEMS";9
"731";4;"02-CONFECTIONERY";"19-AUTOMOTIVE SERVICES";9
"732";4;"05-CHILLED PERISHABLES";"07-ICE";9
"733";2;"07-ICE";"21-PUBLICATIONS";9
"734";2;"05-CHILLED PERISHABLES";"07-ICE";9
"735";2;"08-BREAD";"99-SYSTEM";9
"736";2;"13-GROCERY NON FOOD";"18-AUTOMOTIVE";9
"737";3;"14-HEALTH AND BEAUTY";"32-FOODSERVICE PREPARED ON-SITE";9
"738";3;"13-GROCERY NON FOOD";"18-AUTOMOTIVE";9
"739";3;"07-ICE";"11-ICE CREAM";9
"740";3;"14-HEALTH AND BEAUTY";"22-GENERAL MERCHANDISE";9
"741";3;"04-BEVERAGES";"31-SERVICES";9
"742";3;"07-ICE";"22-GENERAL MERCHANDISE";9
"743";3;"13-GROCERY NON FOOD";"56-LOCAL ITEMS";9
"744";3;"32-FOODSERVICE PREPARED ON-SITE";"43-MEAL REPLACEMENTS";9
"745";5;"12-CIGARETTES/TOBACCO";"22-GENERAL MERCHANDISE";9
"746";5;"12-CIGARETTES/TOBACCO";"13-GROCERY NON FOOD";9
"747";5;"03-SNACKS";"18-AUTOMOTIVE";9
"748";5;"21-PUBLICATIONS";"99-SYSTEM";9
"749";5;"09-BAKERY";"26-COMMUNICATION";9
"750";5;"18-AUTOMOTIVE";"99-SYSTEM";8
"751";5;"14-HEALTH AND BEAUTY";"56-LOCAL ITEMS";8
"752";5;"12-CIGARETTES/TOBACCO";"44-TAKE AWAY FOOD PREPARED";8
"753";2;"04-BEVERAGES";"06-FROZEN FOODS";8
"754";2;"05-CHILLED PERISHABLES";"13-GROCERY NON FOOD";8
"755";2;"11-ICE CREAM";"99-SYSTEM";8
"756";5;"11-ICE CREAM";"26-COMMUNICATION";8
"757";5;"05-CHILLED PERISHABLES";"21-PUBLICATIONS";8
"758";5;"02-CONFECTIONERY";"13-GROCERY NON FOOD";8
"759";5;"11-ICE CREAM";"18-AUTOMOTIVE";8
"760";5;"05-CHILLED PERISHABLES";"99-SYSTEM";8
"761";5;"21-PUBLICATIONS";"44-TAKE AWAY FOOD PREPARED";8
"762";2;"22-GENERAL MERCHANDISE";"32-FOODSERVICE PREPARED ON-SITE";8
"763";2;"01-GROCERY FOOD";"21-PUBLICATIONS";8
"764";2;"05-CHILLED PERISHABLES";"22-GENERAL MERCHANDISE";8
"765";2;"09-BAKERY";"44-TAKE AWAY FOOD PREPARED";8
"766";2;"07-ICE";"32-FOODSERVICE PREPARED ON-SITE";8
"767";5;"03-SNACKS";"22-GENERAL MERCHANDISE";8
"768";2;"14-HEALTH AND BEAUTY";"22-GENERAL MERCHANDISE";8
"769";3;"10-MILK";"51-AUSTRALIA POST";8
"770";3;"04-BEVERAGES";"39-LIQUOR";8
"771";3;"18-AUTOMOTIVE";"21-PUBLICATIONS";8
"772";3;"04-BEVERAGES";"44-TAKE AWAY FOOD PREPARED";8
"773";3;"22-GENERAL MERCHANDISE";"56-LOCAL ITEMS";8
"774";3;"18-AUTOMOTIVE";"22-GENERAL MERCHANDISE";8
"775";3;"06-FROZEN FOODS";"10-MILK";8
"776";3;"07-ICE";"21-PUBLICATIONS";8
"777";4;"14-HEALTH AND BEAUTY";"21-PUBLICATIONS";8
"778";4;"14-HEALTH AND BEAUTY";"26-COMMUNICATION";8
"779";4;"43-MEAL REPLACEMENTS";"99-SYSTEM";8
"780";4;"13-GROCERY NON FOOD";"18-AUTOMOTIVE";8
"781";1;"01-GROCERY FOOD";"14-HEALTH AND BEAUTY";8
"782";1;"01-GROCERY FOOD";"18-AUTOMOTIVE";8
"783";1;"08-BREAD";"43-MEAL REPLACEMENTS";8
"784";1;"11-ICE CREAM";"22-GENERAL MERCHANDISE";8
"785";1;"05-CHILLED PERISHABLES";"22-GENERAL MERCHANDISE";8
"786";1;"43-MEAL REPLACEMENTS";"99-SYSTEM";8
"787";1;"03-SNACKS";"06-FROZEN FOODS";8
"788";4;"01-GROCERY FOOD";"21-PUBLICATIONS";8
"789";1;"12-CIGARETTES/TOBACCO";"19-AUTOMOTIVE SERVICES";7
"790";1;"18-AUTOMOTIVE";"43-MEAL REPLACEMENTS";7
"791";1;"21-PUBLICATIONS";"22-GENERAL MERCHANDISE";7
"792";1;"13-GROCERY NON FOOD";"26-COMMUNICATION";7
"793";1;"13-GROCERY NON FOOD";"43-MEAL REPLACEMENTS";7
"794";1;"06-FROZEN FOODS";"12-CIGARETTES/TOBACCO";7
"795";1;"19-AUTOMOTIVE SERVICES";"99-SYSTEM";7
"796";1;"07-ICE";"21-PUBLICATIONS";7
"797";3;"01-GROCERY FOOD";"32-FOODSERVICE PREPARED ON-SITE";7
"798";3;"01-GROCERY FOOD";"26-COMMUNICATION";7
"799";3;"08-BREAD";"26-COMMUNICATION";7
"800";3;"18-AUTOMOTIVE";"43-MEAL REPLACEMENTS";7
"801";3;"14-HEALTH AND BEAUTY";"21-PUBLICATIONS";7
"802";3;"07-ICE";"13-GROCERY NON FOOD";7
"803";3;"07-ICE";"56-LOCAL ITEMS";7
"804";3;"05-CHILLED PERISHABLES";"07-ICE";7
"805";3;"04-BEVERAGES";"51-AUSTRALIA POST";7
"806";3;"02-CONFECTIONERY";"44-TAKE AWAY FOOD PREPARED";7
"807";4;"01-GROCERY FOOD";"14-HEALTH AND BEAUTY";7
"808";5;"05-CHILLED PERISHABLES";"08-BREAD";7
"809";5;"14-HEALTH AND BEAUTY";"32-FOODSERVICE PREPARED ON-SITE";7
"810";5;"21-PUBLICATIONS";"43-MEAL REPLACEMENTS";7
"811";2;"03-SNACKS";"06-FROZEN FOODS";7
"812";2;"08-BREAD";"56-LOCAL ITEMS";7
"813";2;"06-FROZEN FOODS";"10-MILK";7
"814";5;"22-GENERAL MERCHANDISE";"56-LOCAL ITEMS";7
"815";5;"05-CHILLED PERISHABLES";"11-ICE CREAM";7
"816";5;"21-PUBLICATIONS";"45-ALTERNATE BUSINESS – TAKEAWAY";7
"817";2;"14-HEALTH AND BEAUTY";"56-LOCAL ITEMS";7
"818";2;"01-GROCERY FOOD";"11-ICE CREAM";7
"819";5;"13-GROCERY NON FOOD";"32-FOODSERVICE PREPARED ON-SITE";7
"820";2;"18-AUTOMOTIVE";"43-MEAL REPLACEMENTS";7
"821";2;"18-AUTOMOTIVE";"32-FOODSERVICE PREPARED ON-SITE";7
"822";2;"08-BREAD";"43-MEAL REPLACEMENTS";7
"823";2;"03-SNACKS";"07-ICE";7
"824";2;"03-SNACKS";"44-TAKE AWAY FOOD PREPARED";7
"825";2;"01-GROCERY FOOD";"56-LOCAL ITEMS";6
"826";2;"26-COMMUNICATION";"43-MEAL REPLACEMENTS";6
"827";2;"10-MILK";"31-SERVICES";6
"828";2;"14-HEALTH AND BEAUTY";"99-SYSTEM";6
"829";4;"01-GROCERY FOOD";"13-GROCERY NON FOOD";6
"830";4;"09-BAKERY";"22-GENERAL MERCHANDISE";6
"831";4;"11-ICE CREAM";"22-GENERAL MERCHANDISE";6
"832";4;"26-COMMUNICATION";"43-MEAL REPLACEMENTS";6
"833";4;"01-GROCERY FOOD";"56-LOCAL ITEMS";6
"834";4;"04-BEVERAGES";"06-FROZEN FOODS";6
"835";1;"18-AUTOMOTIVE";"22-GENERAL MERCHANDISE";6
"836";1;"18-AUTOMOTIVE";"19-AUTOMOTIVE SERVICES";6
"837";1;"06-FROZEN FOODS";"11-ICE CREAM";6
"838";1;"20-GAS";"99-SYSTEM";6
"839";1;"56-LOCAL ITEMS";"99-SYSTEM";6
"840";1;"18-AUTOMOTIVE";"56-LOCAL ITEMS";6
