Input_Address,Output_Address,Input_Value,Output_Value
12GW9JJ6wGKxNFdUEBXAbBVjWDz2A28uRo,13WvbZcJrnErQ9JvgfSqJbX9iJCLXJkiHT,2859000000,856000000
1EUEXBruN68wy6mmjTVtLiocEDQKjrKDp3,1ARkGuWzTCziuLaaXAdvUVVkoAxw9nYaqD,3562000000,118000000
1KxuW1m1uQJS75ushMxP3mhTsJrABPL8w8,1PNki67ZmFr9YBTvFJp6x7o4R6TB4KZdWi,4025000000,106000000
1PRz4oGyrUJh1VTgRzUazLFnTg4AG6XDoZ,1EhGrfeCgGzpNi7nLBHYuDyDk6y8quioGR,4677000000,8000000
19WEFS8tC7t5TC583N7Eu7xP4UzifVWqZT,1KDaJEbUuehQsbecRnZqHVJguF5UtFpvXk,4507000000,88000000
1CnLZnbhwC2UqqRzEXkyCDC2PbEq8cQNqa,18s3mShK4behyrjXyPghxm69sY7seJhVcA,4939000000,4938000000
1Ftxwzde8GuJPn1nNxPnvGNwpEzc5w5F7V,1LeZZ4q66SvgEoZ2D2iWisNEdERRWjzaip,4918000000,2000000
1F2WMdQX3TdEQe9uLEBJutHNPWK9NYEmYv,136Ddmo5veHATy3B53JC5GQv4ws4devnXC,4523000000,4448000000
1LDN74ahJdcJKoJCbpbWAtimPodeq7nodT,1EDSdTyhcHaNvePFZj1RpNgFxCXhEr9CtJ,2275000000,2154000000
14FQ642KgyAZrc1pSac7oLq9Z1zjP5XGuu,16Q5Mu4FXCxR7tAvSb1Vnao7EdKYw8tVav,4969000000,4968000000
1HnTaLhj8Frq7yDAoYPgwYQoDs6dqLnx47,1EcaEYUZ3pZFaRXDYxZH4iNktq8b8DGMFG,4601000000,67000000
14vHbwzj2sZJYLdGs833V9pSLbLjRGtCfM,16u5Tq1A5sQhGF3C1M9aMQvjXb25NyTsrZ,4213000000,105000000
16wH6DYRYKxKzBp4nZKGzNrTUp5ubrLBbv,1Q4jRubmneNbPvT9LC3oq8tUkrtmFthZuq,1036000000,514000000
18mcwGUsiD845uYGoaoLu6FgoYov7BFqYM,1FYSbtAPY81DEs9mpWQpuce6hFzyys1N63,2600000000,42000000
18mcwGUsiD845uYGoaoLu6FgoYov7BFqYM,1E29zahedR7TUYnXXxrJnG8ghBbpSbjLe7,9428000000,12100000000
1Loy6gsAbLfMVfnD6pbNJNFYWSunybJXyJ,19nYwUtDpiqUPopQJNgv5NR1SwZBpnttKC,4653000000,17000000
1NyBrKGZRLqcCH5zwhcxoBPs44P3sexPDr,1GzdKyGCf1aZukQa8F1jYm2j2EirgcTxZj,4776000000,4773000000
16NY21YZLVkrb9Usptt2MBPg5krARcg1Qp,1DPXjXRqXd1eyEP8bVtt8YDCb2rf7YJBTD,3269000000,3135000000
1EoUAc4qt8D7WdLfc3RZj7JpTdTc4jV8GF,1HzDUDs3DaEjifpaco5hzXDhdEAmxRjCBH,4741000000,4737000000
1168k5Ztunj7Zq4FMYpj7bDfX2BHk4NXNS,1NBuzVjwRbRpfbdofvrsyNgkpuezh9bYH6,4693000000,4686000000
16VyeTG23qysoiCJr9XZCToutALQEehgS8,1EmibymuYDnxBqzyk3ivMSX5TMnWwQGK3u,4893000000,3000000
