"osm_id","name","access","active_traffic_management","admin_name","alt_name","bicycle","bridge","bridge.name","bridge_ref","carriageway_ref","carriageway_ref.backward","carriageway_ref.forward","change","change.lanes","check_date","construction_contract_name","cycleway","cycleway.both","destination","destination.colour","destination.lanes","destination.ref","destination.ref.lanes","destination.ref.to","destination.symbol","destination.symbol.lanes","embankment","enforcement.maxspeed","foot","from.motorway","hazard","highway","highway_1","incline","int_ref","is_in","junction.ref","lane_markings","lanes","lanes.backward","lanes.forward","layer","lit","maxheight","maxheight.signed","maxspeed","maxspeed.advisory","maxspeed.enforcement","maxspeed.type","maxspeed.variable","mkgmap.flare.check","motor_vehicle","national_highways.area","note","old_ref","oneway","opening_date","operator","operator.wikidata","placement","placement.forward","project_name","proposed.active_traffic_management","ref","shoulder","shoulder.surface","sidewalk","smoothness","source","source.bridge","source.destination","source.lit","source.maxspeed","source.operator","start_date","surface","traffic_calming","tunnel","turn","turn.lanes","turn.lanes.forward","width","start_longitude","start_latitude","end_longitude","end_latitude"
"1095401",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"SE",NA,NA,NA,NA,NA,NA,NA,NA,"The West;Reading;Slough;London (West & Centre);Heathrow (Terminals 1, 2 & 3)",NA,"The West;Reading;Slough|London (West & Centre);Heathrow (Terminals 1, 2 & 3)|London (West & Centre);Heathrow (Terminals 1, 2 & 3)","M4","M4|M4|M4",NA,"airport","|airport|airport",NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"15",NA,"3",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"http://www.autobahn-bilder.de",NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4961763,51.4889157,-0.4956978,51.4905416
"1095402",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"WS",NA,NA,NA,NA,NA,NA,NA,NA,"Watford;Oxford;Gatwick;Heathrow (Terminals 4, 5 & Cargo)",NA,NA,"M25 North;M25 South",NA,"M1;M40","airport",NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,"E 30",NA,"4B",NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph","40 mph",NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"signposts",NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5034436,51.4946221,-0.4998233,51.4955425
"1095404",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,"Gatwick;Heathrow (Terminals 4, 5 & Cargo);Watford;Oxford",NA,NA,"M25 South;M25 North",NA,"M3;M1;M40","airport",NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"4B",NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4793697,51.4943134,-0.4831566,51.4940871
"1095405",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"SE",NA,NA,NA,NA,NA,NA,NA,NA,"London (West);Heathrow (Terminals 1, 2 & 3)",NA,NA,"M4",NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"15",NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"http://www.autobahn-bilder.de",NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4956978,51.4905416,-0.4960329,51.4918851
"1095406",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,"Oxford;Watford",NA,NA,"M25 North",NA,"M40;M1",NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"4B",NA,"1",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4895421,51.4938596,-0.4935732,51.4940373
"1095407",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,"The West;Slough;Reading",NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,"E 30",NA,"15",NA,"1",NA,NA,NA,"yes","default",NA,"70 mph","40 mph",NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4956822,51.4945674,-0.5001052,51.49425
"1095408",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"WS",NA,NA,NA,NA,NA,NA,NA,NA,"Heathrow (Terminals 4, 5 & Cargo);Gatwick",NA,NA,"M25 South",NA,"M3;M23;M20","airport",NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"4B",NA,"1",NA,NA,NA,"yes",NA,NA,"70 mph","40 mph",NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4998233,51.4955425,-0.4960751,51.4951336
"1096580",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staines;Gatwick;Dartford",NA,NA,"M25 South",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"14",NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M25","yes",NA,NA,NA,"bing",NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.507989,51.4670967,-0.5091354,51.4662714
"1341596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Milton Keynes;Newport Pagnell",NA,NA,"A509",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"no",NA,NA,"70 mph",NA,NA,"GB:motorway",NA,NA,NA,"8",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6934536,52.056198,-0.6968819,52.0572028
"1676265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bedford;Woburn;Ampthill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link","motorway_junction",NA,NA,NA,NA,NA,"1",NA,NA,NA,"no","default",NA,"70 mph",NA,NA,"GB:motorway",NA,NA,NA,"8",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6108931,52.0284875,-0.609109,52.0281228
"1861053",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"no",NA,NA,"70 mph",NA,NA,"GB:motorway","no",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"A404(M)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.7347651,51.5069291,-0.7334393,51.507051
"1861276",NA,NA,"no",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A329(M)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph","40 mph",NA,"GB:motorway","no",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8468234,51.4349838,-0.8511084,51.4326391
"1880409",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41101,51.4917841,-0.4118829,51.4920827
"1880414",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.4605209,51.4959028,-0.4588475,51.4959843
"1880419",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"yes","default",NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5382924,51.4928166,-0.5321649,51.4932236
"1880449",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Slough (Centre);Windsor",NA,NA,"A355;A332",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6096007,51.5020099,-0.6142472,51.5023129
"1880450",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"London;Heathrow;Langley",NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6142019,51.5029291,-0.6098928,51.50215
"1880451",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maidenhead;Reading",NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6173265,51.5027539,-0.6252875,51.5049503
"1880452","Huntercombe Spur",NA,"no",NA,"Hunterscombe Spur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Huntercombe Spur",NA,NA,"Slough (West)",NA,NA,"A4",NA,NA,NA,NA,NA,NA,NA,NA,"curve","motorway_link",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"yes","default",NA,"70 mph",NA,NA,"GB:motorway","no",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6582701,51.5107427,-0.655792,51.511172
"1880453","Huntercombe Spur",NA,"yes",NA,"Hunterscombe Spur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"London",NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6544039,51.5155294,-0.652367,51.511003
"1880454",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High Wycombe;Maidenhead",NA,NA,"A404(M);A308(M)","A404(M)|A404(M)|A308(M)",NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","no",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.7216583,51.4990007,-0.722608,51.4986291
"1880472",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reading Central & South;Basingstoke",NA,NA,"A33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,"11",NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,"7.3",-0.9647675,51.411681,-0.9688508,51.4116647
"1880473",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reading Central & South;Basingstoke",NA,NA,"A33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,"through|through",NA,NA,-0.9785269,51.4144207,-0.9749783,51.4134897
"1880474",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Wales",NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.9734987,51.4119758,-0.9742138,51.4125346
"1880994",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L",NA,NA,NA,NA,NA,NA,NA,NA,"South Mimms services",NA,NA,"A1(M)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,"E 15",NA,NA,NA,"1",NA,NA,NA,"yes","default",NA,"70 mph",NA,NA,NA,NA,NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"A1(M)","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.2254679,51.6911901,-0.226347,51.6897941
"1880995",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"K",NA,NA,NA,NA,NA,NA,NA,NA,"Dartford;Stansted;Potters Bar",NA,NA,"M25(E)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,"E 15",NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,"A1178","yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M25","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.2269275,51.686624,-0.216052,51.6843712
"1881137",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M25 (S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,0.2390397,51.4256251,0.2381658,51.4248754
"1881427",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","no",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,0.131259,51.6841813,0.1285408,51.6811803
