"osm_id","name","access","alt_name","bicycle","bridge","bus","busway.left","busway.right","carriage","carriageway","change.lanes","check_date","check_date.surface","construction","covered","cycleway","cycleway.both","cycleway.left","cycleway.left.lane","cycleway.left.oneway","cycleway.right","cycleway.right.oneway","destination","destination.lanes","destination.ref","destination.ref.backward","destination.ref.forward","destination.ref.lanes","destination.street","destination.symbol","direction","dual_carriageway","embankment","emergency","expressway","fixme","foot","from.motorway","gritting","hgv","highway","horse","incline","is_in","junction","lane_markings","lanes","lanes.backward","lanes.bus","lanes.forward","lanes.psv","layer","lit","loc_name","maintenance","maxheight","maxspeed","maxspeed.enforcement","maxspeed.type","maxweight","maxweight.conditional","maxweight.hgv","maxweight.signed","maxweightrating","maxweightrating.conditional","maxweightrating.hgv","maxweightrating.hgv.conditional","mcn","mkgmap.flare.check","motor_vehicle","motor_vehicle.conditional","motorcar","motorcycle","motorroad","name.be","name.en","name.etymology","name.etymology.wikidata","name.etymology.wikipedia","name.ja","name.ru","national_highways.area","noname","not.name","note","old_name","old_ref","oneway","oneway.bicycle","oneway.foot","oneway.motor_vehicle.conditional","oneway.motorcycle","oneway.psv","opening_date","operator","operator.wikidata","parking.both","parking.both.restriction","parking.lane","parking.lane.both","parking.left","parking.left.restriction","parking.left.restriction.reason","parking.right","parking.right.restriction","parking.right.restriction.reason","placement","postal_code","proposed.highway","proposed.oneway","psv","ref","ref.GB.usrn","service","short_name","shoulder","shoulder.both","sidewalk","sidewalk.both","sidewalk.both.surface","sidewalk.left","sidewalk.left.surface","sidewalk.right","sidewalk.right.surface","smoothness","source","source.bicycle","source.busway","source.foot","source.geometry","source.maxspeed","source.maxweightrating.hgv","source.name","source.proposed.oneway","source.ref","surface","taxi","traffic_calming","tunnel","turn","turn.lanes","turn.lanes.backward","turn.lanes.forward","vehicle","verge","verge.left","was.highway","was.maxspeed","width","wikidata","wikimedia_commons","wikipedia","start_longitude","start_latitude","end_longitude","end_latitude"
"3186922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"40 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3877501,51.6560527,-0.386821,51.6551545
"3186931","Rickmansworth Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"30 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4028368,51.6589919,-0.402326,51.6606786
"3186932","Rickmansworth Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"30 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4015158,51.6604929,-0.4024439,51.6591545
"3220077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"yes",NA,NA,"default","40 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"separate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9789836,51.4548289,-0.9789871,51.4551606
"3220078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"30 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.977928,51.4561414,-0.9786241,51.455147
"3220083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"30 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"separate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9773923,51.4579989,-0.9775071,51.4567411
"3220106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,"30 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9781123,51.4523903,-0.9784979,51.4532489
"3220107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"no",NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"40 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9785292,51.4537929,-0.9781891,51.4533503
"3220108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Royal Berks Hospital",NA,NA,NA,NA,NA,NA,"hospital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"30 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"separate",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.97715,51.4522292,-0.9768946,51.4516896
"3220109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"Newbury;Oxford;Hexagon;Mall","Newbury;Oxford|Hexagon;Mall","(M4 West);(A4);(A34)",NA,NA,"(M4 West);(A4);(A34)|",NA,"parking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"primary_link",NA,NA,NA,NA,"no","2",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"40 mph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"separate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.976485,51.4508276,-0.9767638,51.4510099
