"osm_id","name","active_traffic_management","admin_name","alt_name","bicycle","bridge","bridge.alt_name","bridge.alt_name.wikidata","bridge.name","bridge.name.wikidata","bridge.ref","bridge_ref","carriageway_ref","change","change.lanes","construction_contract_name","covered","cutting","cycleway.left","description","destination","destination.lanes","destination.ref","destination.ref.lanes","destination.ref.to","destination.ref.to.lanes","destination.symbol","destination.symbol.lanes","embankment","enforcement.maxspeed","expressway","fixme","hazard","highway","incline","int_ref","is_in","junction","junction.ref","lane_markings","lanes","lanes.bus","layer","lit","loc_name","maxheight","maxheight.signed","maxspeed","maxspeed.enforcement","maxspeed.type","maxspeed.variable","mkgmap.flare.check","motor_vehicle.conditional","motorway","national_highways.area","note","old_ref","oneway","operator","operator.wikidata","placement","project_name","proposed.active_traffic_management","proposed.lanes","ref","ref_direction","shoulder","shoulder.surface","shoulder.width","smoothness","source","source.bridge","source.destination","source.lit","source.maxspeed","source.operator","source.ref","start_date","surface","toll","toll.motorcycle","tunnel","tunnel.name","turn.lanes","width","width.lanes","wikidata","start_longitude","start_latitude","end_longitude","end_latitude"
"1880986",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,"E 15;E 30",NA,NA,NA,NA,"4",NA,NA,"no",NA,"default",NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"concrete",NA,NA,NA,NA,NA,NA,NA,NA,-0.1185362,51.6885305,-0.1463637,51.6854693
"1880997",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","(M1, M40, M4);St Albans (A1081);Watford;Heathrow",NA,"M25",NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,"E 30",NA,NA,NA,NA,"3",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.2227859,51.6845636,-0.2272967,51.6857214
"1881098",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","(M11, M1);Dartford Crossing;Stansted;Bromley (A21)",NA,"M25",NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"2",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.1309637,51.2881756,0.139132,51.2903566
"1881099",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","(M23, M3, M4);Gatwick;Heathrow;Bromley (A21)",NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"3",NA,NA,"no",NA,NA,NA,"70 mph",NA,"GB:motorway","no",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.190269,51.3834194,0.1886659,51.3814041
"1881100",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","(M11, M1);Dartford Crossing;Stansted",NA,NA,NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"3",NA,NA,"no",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.1945245,51.3898115,0.196914,51.3930925
"1881101",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","Dover (M20);Channel Tunnel (M20);(M23)",NA,"M25",NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"motorway",NA,"E 15",NA,NA,NA,NA,"3",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.2393467,51.4291974,0.2392017,51.4283038
"1881102",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,"E 15;E 30",NA,NA,NA,NA,"3",NA,NA,"no",NA,"default",NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.013314,51.6792166,-0.0104226,51.6804777
"1881103",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","(M1, M40, M4);Watford;Heathrow",NA,"M25",NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,"E 15;E 30",NA,NA,NA,NA,"3",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.127615,51.678944,0.1253352,51.6793291
"1881111",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,"E 15;E 30",NA,NA,NA,NA,"4",NA,NA,"yes",NA,"default",NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.2549023,51.6154014,0.1914841,51.6529597
"1881113",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","Dartford Crossing (A282);Stansted (M11);(M1)",NA,"M25",NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,"E 15",NA,NA,NA,NA,"3",NA,NA,"yes",NA,NA,NA,"60 mph",NA,"sign","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,0.23903,51.428461,0.2391599,51.4299202
"2588260","Barnet Bypass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"2",NA,NA,"yes",NA,"default",NA,"70 mph",NA,"GB:motorway",NA,NA,NA,NA,"DBFO5",NA,"A555","yes","National Highways","Q5760006",NA,NA,NA,NA,"A1(M)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.2332556,51.6807599,-0.2264236,51.6902554
"2631580",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,"Slough-Maidenhead By-Pass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,"E 30",NA,NA,NA,NA,"3",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"3",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.6152718,51.5029131,-0.6090319,51.5021368
"2631589",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,NA,"Chiswick to Langley Special Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"3",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.452172,51.4956892,-0.444087,51.4949724
"2714200",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","Reigate (A217);Watford & (M1);Heathrow (M4)",NA,"M25",NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"3",NA,NA,"yes",NA,"default",NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.1226969,51.2629667,-0.1374361,51.2647611
"2714202",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,"London Orbital Motorway","Heathrow (M4);Watford & (M1);Guildford (A3)",NA,"M25",NA,NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"4",NA,NA,"yes",NA,NA,NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.3187114,51.3013603,-0.3226566,51.306292
"2722515",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,NA,NA,NA,"London Orbital Motorway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway",NA,NA,NA,NA,NA,NA,"4",NA,NA,"yes",NA,"default",NA,"70 mph",NA,"GB:motorway","peak_traffic",NA,NA,NA,"DBFO5",NA,NA,"yes","National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,NA,NA,-0.0924602,51.2574275,-0.1117391,51.2599316
