timestamp,waypoint,target_x,target_z,target_heading,actual_x,actual_z,actual_heading,position_error,cross_track_error,heading_error,m1_speed,m2_speed,s1_angle,s2_angle
22:28:23.524,1,85.59,-30.68,175.1,82.31,11.71,292.1,42.52,42.52,-117.0,63,50,90,96
22:28:24.695,1,85.59,-30.68,175.1,81.66,6.56,292.1,37.45,37.45,-117.0,50,63,90,76
22:28:26.268,1,85.59,-30.68,175.1,81.12,-0.52,292.1,30.49,30.49,-117.0,63,50,90,102
22:28:28.120,1,85.59,-30.68,175.1,79.83,-6.87,292.1,24.50,24.50,-117.0,50,63,90,88
